name,duration,rating,genre,poster,years,total_years
7 Numara,45,8.8,['Comedy. Drama. Family'],"https://m.media-amazon.com/images/M/MV5BZDAwOGYyZWEtM2M2OS00OWQwLTg5ZGYtZWNiZWNkMDM5ZTAwXkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_QL75_UY281_CR16,0,190,281_.jpg","['2000', '2003']",4
8'de Bugün,120,None,['News. Reality-TV'],"https://m.media-amazon.com/images/M/MV5BZGY0ZTI3OGUtM2M3Yy00ZGQ2LWJiODUtM2M4NGY5YjhlZDliXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR137,0,190,281_.jpg",['2019'],1
81 Reasons to Fall in Love with Turkey,None,None,['Documentary'],"https://m.media-amazon.com/images/M/MV5BNmI5NzY5NmItMjM3ZC00ZDU1LWJiMDktZjRmNDhjYmVlNTdlXkEyXkFqcGdeQXVyODc5Mjc4Nzg@._V1_QL75_UY281_CR155,0,190,281_.jpg","['2021', ' ']",1
9 Oguz,None,None,['Drama'],"https://m.media-amazon.com/images/M/MV5BYjQ2NDI2ZTctM2QxZC00N2FhLWJjNTgtOTQ2Yjg5ZWFiMWZjXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_QL75_UY140_CR35,0,140,140_.jpg",[''],None
90-60-90,None,3.8,None,"https://m.media-amazon.com/images/M/MV5BMmNjZGRjM2QtNTIyOC00NjNjLTlkOTItZmVmNGM3OWQyMTdiXkEyXkFqcGdeQXVyOTQ1Mzg0Mzg@._V1_QL75_UX140_CR0,1,140,140_.jpg",['2001'],None
99,None,None,['Drama'],"https://m.media-amazon.com/images/M/MV5BOTU3ZWUzMjAtNGVhZi00MmMzLWE3NGYtZGQ2ODUzZTRlNjM5XkEyXkFqcGdeQXVyNTA2OTk4MTA@._V1_QL75_UY140_CR55,0,140,140_.jpg",['2017'],1
A Takimi,None,None,['Documentary. Talk-Show'],"https://m.media-amazon.com/images/M/MV5BOWNhNWYzNjMtMzg3Yy00YTVlLTk3MDAtNDIzYzkwNDljNjczXkEyXkFqcGdeQXVyNDIwOTkyNjM@._V1_QL75_UY281_CR93,0,190,281_.jpg","['1993', '2006']",None
A.S.K.,100,4.3,['Drama. Romance'],"https://m.media-amazon.com/images/M/MV5BYTBmMWRkZDQtMzE5NS00YzIyLTkzOWMtZjQ4MzU0YjUxNjc3XkEyXkFqcGdeQXVyODY1MDkwOQ@@._V1_QL75_UY281_CR29,0,190,281_.jpg",['2013'],1
AVM Sakini,20,5.2,['Comedy'],"https://m.media-amazon.com/images/M/MV5BYzZiOTg2MTctNzAwZC00OGQ4LTkwZGMtZjgxMWMzZjRkM2JiXkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_QL75_UY207_CR13,0,140,207_.jpg",['2017'],None
Ab-i Hayat,None,None,['Drama'],"https://m.media-amazon.com/images/M/MV5BZjhlMDAzYjktYzVmYy00NjMyLTlmYTctMzA2ODE1ODVjOWIzXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UX140_CR0,12,140,140_.jpg",[''],None
Abbas Güçlü ile Genç Bakis,None,5.9,['News'],"https://m.media-amazon.com/images/M/MV5BNGI5ZWM2YTItMDdmNi00MDc4LWEyMDktNjA0MmY1NzE1MjM0XkEyXkFqcGdeQXVyNDIwOTkyNjM@._V1_QL75_UY281_CR121,0,190,281_.jpg","['2002', '2016']",None
Abece TV,10,None,['Animation'],None,['2016'],None
Acans,25,7.3,['Comedy'],"https://m.media-amazon.com/images/M/MV5BMjc4Y2E0MTEtZDZkYy00ZmU4LWIxM2UtNzlhNTY2ZjM5OGM1XkEyXkFqcGdeQXVyMjI2MDg3NzE@._V1_QL75_UY281_CR4,0,190,281_.jpg",['2021'],1
Acar Kafadarlar,None,3.9,['Comedy'],"https://m.media-amazon.com/images/M/MV5BMmMxYWJmMzItZTFjZi00YWVmLThiZDctZDRkMDdhOWQyYTAyXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR150,0,190,281_.jpg","['2009', '2010']",None
Acayip Hikayeler,40,7.5,['Action. Adventure. Drama'],"https://m.media-amazon.com/images/M/MV5BYjE5NTg3NzQtNjk1Mi00ZDI4LWI5OGQtMDI3MmE5ZTNlNWRlXkEyXkFqcGdeQXVyMTQ4MjI2NjE@._V1_QL75_UY281_CR4,0,190,281_.jpg",['2012'],1
Acemi Anneler,None,6.7,None,"https://m.media-amazon.com/images/M/MV5BZjg1Y2RhMTUtZTNmMi00YjQyLTg5MmUtMmZlNTgzMDUwODNmXkEyXkFqcGdeQXVyMTI1MDEzNTA0._V1_QL75_UY281_CR5,0,190,281_.jpg","['2020', '2021']",2
Acemi Cadi,80,3.5,['Comedy. Family. Fantasy'],"https://m.media-amazon.com/images/M/MV5BMGM1ZWVkNDctMjRlYS00ZjVhLWIxNDYtMmY4N2I2ZTQwYjAzXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_QL75_UY281_CR116,0,190,281_.jpg","['2006', '2007']",2
Acemi Müezzin,244,7.0,['Comedy. Drama. Romance'],"https://m.media-amazon.com/images/M/MV5BMjhkOWQ0OGUtYWI2MS00MGYxLWI3NjEtYjI2YmVmOGYxZGViXkEyXkFqcGdeQXVyOTQ1Mzg0Mzg@._V1_QL75_UY140_CR40,0,140,140_.jpg",['2009'],1
Acemi Pastacilar,None,None,['Talk-Show'],"https://m.media-amazon.com/images/M/MV5BMzUxOTgzMTgtMGU0Ny00MzAyLTkyZWItZDg5MjA3ZWIzNTc1XkEyXkFqcGdeQXVyNzY3MjM4NjA@._V1_QL75_UY281_CR93,0,190,281_.jpg",['2014'],None
Aci Ask,120,4.8,['Drama'],"https://m.media-amazon.com/images/M/MV5BYzFjYjk4NmUtODk4Yy00NzFhLThjNGQtODc4NGZmY2NkYTlkXkEyXkFqcGdeQXVyODY1MDkwOQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg","['2015', '2016']",2
Aci Hayat,90,6.3,['Action. Drama. Romance'],"https://m.media-amazon.com/images/M/MV5BMTIwNjA4MTA1N15BMl5BanBnXkFtZTcwODQwNzIzMQ@@._V1_QL75_UY281_CR3,0,190,281_.jpg","['2005', '2007']",3
Acil Ask Araniyor,120,5.6,['Comedy. Romance'],"https://m.media-amazon.com/images/M/MV5BNDA1ODgyMzgtMWNjNy00MTUzLWI1OGItYmM3NDhmZGZjMTZmXkEyXkFqcGdeQXVyMTE2MDU0NzAw._V1_QL75_UX190_CR0,0,190,281_.jpg",['2015'],1
Acun Firarda,None,4.6,['Reality-TV'],"https://m.media-amazon.com/images/M/MV5BODY0MzY1YTUtZWQwNi00MDBiLWIwOWItYjhiOWY3M2ZhOGYxXkEyXkFqcGdeQXVyNDIwOTkyNjM@._V1_QL75_UY281_CR8,0,190,281_.jpg","['2002', '2006']",None
Adal,None,6.7,['Talk-Show'],"https://m.media-amazon.com/images/M/MV5BMzUxNmVkNTctYmFjNS00NmJkLWE5OWYtNTgxY2RlOTU4N2IxXkEyXkFqcGdeQXVyNTcyNTg3Nzc@._V1_QL75_UY281_CR29,0,190,281_.jpg","['2018', '2020']",3
Adanali,100,3.4,['Action. Crime'],"https://m.media-amazon.com/images/M/MV5BYmY0NWQxOTktZGUwNS00MmMzLTgxZDgtYTVhMzI0ZDU0MmVlXkEyXkFqcGdeQXVyNTM5NjkxMzM@._V1_QL75_UX190_CR0,2,190,281_.jpg","['2008', '2010']",3
Adeland,None,None,['Animation'],None,"['2013', '2014']",2
Adi Ask Olsun,None,6.9,['Romance'],"https://m.media-amazon.com/images/M/MV5BMjE1Mjc2NDI3M15BMl5BanBnXkFtZTgwMDg2MjI0MDI@._V1_QL75_UX140_CR0,32,140,140_.jpg",['2004'],1
Adi Efsane,130,6.5,['Drama. Sport'],"https://m.media-amazon.com/images/M/MV5BOTAxNTA0YjgtMDZmZC00Zjc0LTlhNTUtYTkwZGNkNjAzYjQzXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_QL75_UX190_CR0,13,190,281_.jpg",['2017'],1
Adi Mutluluk,120,4.5,['Comedy. Drama. Romance'],"https://m.media-amazon.com/images/M/MV5BYWE2ZTBiMmQtM2IwYy00NjczLThjYzEtZjYwYmQwOGM4MzgzXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_QL75_UY281_CR4,0,190,281_.jpg",['2015'],1
Adi Sevgi,120,2.4,['Drama'],"https://m.media-amazon.com/images/M/MV5BNTRjNjZhYjUtZTI0MS00MmVhLWIzZTQtZGE4ZDU1NjE4NTZhXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR18,0,190,281_.jpg",['2022'],1
Adi: Zehra,120,5.5,['Drama'],"https://m.media-amazon.com/images/M/MV5BYzJmOTIzZDItMDMzOC00NmVjLWEyNjgtYmRjZTU2NDViY2RiXkEyXkFqcGdeQXVyMTE2MDU0NzAw._V1_QL75_UX190_CR0,4,190,281_.jpg",['2018'],1
Adim Basi Kafe,None,5.3,['Comedy'],"https://m.media-amazon.com/images/M/MV5BMGZhMjhhZDktZDJjZi00OWU2LThkMmEtMjcwMzI1ODQ1MzA0XkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_QL75_UY281_CR18,0,190,281_.jpg",['2021'],1
Adini Feriha Koydum,120,5.6,['Drama. Romance'],"https://m.media-amazon.com/images/M/MV5BY2Y3YWQ0MjEtNzMyMS00ZDUwLThiN2MtNDc0MGIxM2M1ZWNjXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_QL75_UY281_CR4,0,190,281_.jpg","['2011', '2012']",2
Adini Kalbime Yazdim,None,5.3,['Drama'],"https://m.media-amazon.com/images/M/MV5BYTA5OGZhYTQtNGM3Ny00N2VjLWEyNjAtMTQ1MTFhYjY5NzU4XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_QL75_UY281_CR4,0,190,281_.jpg","['2013', '2014']",None
Adini Sen Koy,None,4.4,['Drama. Romance'],"https://m.media-amazon.com/images/M/MV5BZmFhODAyM2EtZGNjOS00MjFiLThiZjctN2QzMjkxYTU5MzM4XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR11,0,190,281_.jpg","['2016', '2018']",3
Adventurous Fins,None,None,['Family'],None,"['2017', '2019']",None
Afara,None,None,['Music. Reality-TV'],"https://m.media-amazon.com/images/M/MV5BMTQzMjJiODItYzE1YS00MTY4LTk4ZWMtYmI1ODM3NjRhZDE5XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_QL75_UY281_CR18,0,190,281_.jpg","['2022', ' ']",1
Affedilmeyen,None,6.7,['Action. Drama. Romance'],"https://m.media-amazon.com/images/M/MV5BM2NiYTQ5ZjktODRmOS00ZDViLWE1YWItNWQ3M2NlYTM2YzNhXkEyXkFqcGdeQXVyMTUwNjIxNjM3._V1_QL75_UY281_CR111,0,190,281_.jpg",['2007'],1
Affet Bizi Hocam,45,6.2,['Drama'],"https://m.media-amazon.com/images/M/MV5BMDNhYjI1MmMtZGE1Yi00ZTNmLTg3ZGItZDIyMDA2NWQ0ODU2XkEyXkFqcGdeQXVyNTczMjA3ODg@._V1_QL75_UY281_CR155,0,190,281_.jpg",['1998'],None
Afili Ask,120,6.6,['Comedy. Romance'],"https://m.media-amazon.com/images/M/MV5BNTg4NTgwY2YtYzQyZS00OWYzLTk5OWItYWIzNzIyNGRiNDQzXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR5,0,190,281_.jpg","['2019', '2020']",2
Afili Dostlar,20,6.3,['Documentary'],"https://m.media-amazon.com/images/M/MV5BMTg3ZjY2ODItZGNmZS00MDNiLWIxY2EtODA2NDM2NDljNGY5XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY281_CR148,0,190,281_.jpg",['2019'],1
